"Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"01/2004","3615861","","263265315","","72,81",""
"02/2004","3615861","","263258565","","72,81",""
"03/2004","3666020","","265752730","","72,49",""
"04/2004","3766737","","269441935","","71,53",""
"05/2004","3967829","","280141245","","70,60",""
"06/2004","4103013","","288166955","","70,23",""
"07/2004","4279542","","298459485","","69,74",""
"08/2004","4550466","","315019615","","69,23",""
"09/2004","5035657","","346686645","","68,85",""
"10/2004","5385597","","366929702","","68,13",""
"11/2004","5948883","","394792241","","66,36",""
"12/2004","6571839","","439870605","","66,93",""
"01/2005","6572060","","430841390","","65,56",""
"02/2005","6556131","","429863637","","65,57",""
"03/2005","6562152","","430198110","","65,56",""
"04/2005","6732122","","439250220","","65,25",""
"05/2005","7033153","","459869972","","65,39",""
"06/2005","7031669","","459768106","","65,39",""
"07/2005","7319714","","474590721","","64,84",""
"08/2005","7523795","","488127091","","64,88",""
"09/2005","7668002","","495910659","","64,67",""
"10/2005","8005712","","512558075","","64,02",""
"11/2005","8175540","","521303533","","63,76",""
"12/2005","8700445","","549385527","","63,14",""
"01/2006","8644196","","537781906","","62,21",""
"02/2006","8707056","","540021556","","62,02",""
"03/2006","8789532","","543779656","","61,87",""
"04/2006","8998021","","555778844,00","","61,77",""
"05/2006","9229324","","567298676,00","","61,47",""
"06/2006","11166924","","681860977","","61,06",""
"07/2006","11120353","","683130503,00","","61,43",""
"08/2006","11101180","","682663673,00","","61,49",""
"09/2006","11017689","","678098309,00","","61,55",""
"10/2006","11009341","","680080588","","61,77",""
"11/2006","11098076","","687464822","","61,94",""
"12/2006","10965810","","686701812","","62,62",""
"01/2007","10908452","","683456074","","62,65",""
"02/2007","11035371","","692507061","","62,75",""
"03/2007","11071446","","695503795","","62,82",""
"04/2007","11046468","","694543155","","62,87",""
"05/2007","11155467","","703172961","","63,03",""
"06/2007","10749655","","683553545","","63,59",""
"07/2007","10891898","","692953459","","63,62",""
"08/2007","10956436","","819728871","","74,82",""
"09/2007","10960874","","819429429","","74,76",""
"10/2007","11037575","","826640263","","74,89",""
"11/2007","10952346","","822904297","","75,13",""
"12/2007","11043076","","831106698","","75,26",""
"01/2008","11007829","","830163691","","75,42",""
"02/2008","11129327","","838936498","","75,38",""
"03/2008","11039571","","854003335","","77,36",""
"04/2008","10976312","","850107871","","77,45",""
"05/2008","11086349","","864197458,00","","77,95",""
"06/2008","11075201","","865864797","","78,18",""
"07/2008","11013323","","932963786","","84,71",""
"08/2008","10988859","","931753712","","84,79",""
"09/2008","10842708","","928954403,00","","85,68",""
"10/2008","10654226","","892892933","","83,81",""
"11/2008","10651006","","910761812","","85,51",""
"12/2008","10557996","","905899897","","85,80",""
"01/2009","11167140","","934791868","","83,71",""
"02/2009","11030504","","936229488","","84,88",""
"03/2009","11222689","","954013815","","85,01",""
"04/2009","11250623","","954280525","","84,82",""
"05/2009","11611680","","981962175","","84,57",""
"06/2009","11561570","","1000749856","","86,56",""
"07/2009","11535150","","994701200","","86,23",""
"08/2009","12073431","","1035693894","","85,78",""
"09/2009","11994309","","1135409587","","94,66",""
"10/2009","12486021","","1177198829","","94,28",""
"11/2009","12472540","","1175405068","","94,24",""
"12/2009","12370915","","1174266196,00","","94,92",""
"01/2010","12500294","","1153987854","","92,32",""
"02/2010","12407776","","1154816905,00","","93,07",""
"03/2010","12494008","","1169758590","","93,63",""
"04/2010","12548861","","1178505973,00","","93,91",""
"05/2010","12467599","","1177262338","","94,43",""
"06/2010","12649019","","1195663175","","94,53",""
"07/2010","12582844","","1192738738","","94,79",""
"08/2010","12740644","","1212200292","","95,14",""
"09/2010","12769155","","1227998637","","96,17",""
"10/2010","12632150","","1244780937","","98,54",""
"11/2010","12682603","","1225947346","","96,66",""
"12/2010","12778220","","1239042080","","96,97",""
"01/2011","12851345","","1210230621","","94,17",""
"02/2011","12946313","","1224704614","","94,60",""
"03/2011","12944676","","1224307029","","94,58",""
"04/2011","13058476","","1471589861","","112,69",""
"05/2011","12986870","","1467768035","","113,02",""
"06/2011","12999560","","1470915862","","113,15",""
"07/2011","12952039","","1466578595","","113,23",""
"08/2011","12805037","","1482229047","","115,75",""
"09/2011","13179472","","1573687473","","119,40",""
"10/2011","13171810","","1571790011","","119,33",""
"11/2011","13306920","","1594506647","","119,83",""
"12/2011","13361495","","1605970114,00","","120,19",""
"01/2012","13330714","","1561780652","","117,16",""
"02/2012","13407291","","1576648327","","117,60",""
"03/2012","13394893","","1584600515","","118,30",""
"04/2012","13462104","","1624325445","","120,66",""
"05/2012","13530036","","1637664434","","121,04",""
"06/2012","13462659","","1807067958","","134,23",""
"07/2012","13524123","","1827704006","","135,14",""
"08/2012","13770339","","1870629152","","135,84",""
"09/2012","13724590","","1875032856","","136,62",""
"10/2012","13758254","","1886184830","","137,09",""
"11/2012","13834007","","1892374956","","136,79",""
"12/2012","13902155","","2012731564","","144,78",""
"01/2013","13835986","","1970843426","","142,44",""
"02/2013","13557535","","1964147370","","144,87",""
"03/2013","13872243","","2076786312","","149,71",""
"04/2013","13647478","","2051462250","","150,32",""
"05/2013","13773316","","2080949976","","151,09",""
"06/2013","13581604","","2073512475","","152,67",""
"07/2013","13773543","","2100575175","","152,51",""
"08/2013","13765514","","2102688653","","152,75",""
"09/2013","13841665","","2108752902","","152,35",""
"10/2013","13830512","","2111438334","","152,67",""
"11/2013","13830095","","2109624527","","152,54",""
"12/2013","14086199","","2139325691","","151,87",""
"01/2014","14045570","","2110618798","","150,27",""
"02/2014","14084341","","2121091032","","150,60",""
"03/2014","14053368","","2112724614","","150,34",""
"04/2014","14145274","","2114101718","","149,46",""
"05/2014","13940270","","2087755338","","149,76",""
"06/2014","14069537","","2367916901","","168,30",""
"07/2014","14204279","","2406363186","","169,41",""
"08/2014","13963137","","2372369287","","169,90",""
"09/2014","13983099","","2378560947","","170,10",""
"10/2014","13982036","","2372284427","","169,67",""
"11/2014","14047474","","2376489442","","169,18",""
"12/2014","14003441","","2367019543","","169,03",""
"01/2015","13980524","","2342594866","","167,56",""
"02/2015","14014252","","2349028965","","167,62",""
"03/2015","13978783","","2344813836","","167,74",""
"04/2015","13755692","","2308012264","","167,79",""
"05/2015","13732792","","2306454411","","167,95",""
"06/2015","13716766","","2301404544","","167,78",""
"07/2015","13827369","","2311298975","","167,15",""
"08/2015","13797102","","2295059989","","166,34",""
"09/2015","13880362","","2288362252","","164,86",""
"10/2015","13971124","","2285199624","","163,57",""
"11/2015","13782217","","2247275686","","163,06",""
"12/2015","13936791","","2270795927","","162,94",""
"01/2016","13969391","","2252639821","","161,26",""
"02/2016","13966599","","2245197494,00","","160,75",""
"03/2016","13840988","","2223324571,00","","160,63",""
"04/2016","13892145","","2237918660","","161,09",""
"05/2016","13812535","","2234191747","","161,75",""
"06/2016","13805497","","2237440918","","162,07",""
"07/2016","13905030","","2532511385,00","","182,13",""
"08/2016","13847958","","2528917368","","182,62",""
"09/2016","13884050","","2527269321","","182,03",""
"10/2016","13948141","","2538278030","","181,98",""
"11/2016","13550733","","2490323125","","183,78",""
"12/2016","13569576","","2458172701","","181,15",""
"01/2017","13560521","","2426682591","","178,95",""
"02/2017","13660175","","2453677326","","179,62",""
"03/2017","13607949","","2428264849","","178,44",""
"04/2017","13488892","","2416084222","","179,12",""
"05/2017","13313779","","2402987404","","180,49",""
"06/2017","13284029","","2397698655","","180,49",""
"07/2017","12740640","","2311085525","","181,39",""
"08/2017","13495513","","2425517419","","179,73",""
"09/2017","13417699","","2410317893","","179,64",""
"10/2017","13562216","","2432634543","","179,37",""
"11/2017","13676038","","2460195048","","179,89",""
"12/2017","13828609","","2480967459","","179,41",""
"01/2018","14001339","","2498595600","","178,45",""
"02/2018","14080828","","2497795507","","177,39",""
"03/2018","14165038","","2508135248","","177,07",""
"04/2018","13772904","","2447602356","","177,71",""
"05/2018","13919429","","2484070551","","178,46",""
"06/2018","13736341","","2445679196","","178,04",""
"07/2018","13768418","","2594776759","","188,46",""
"08/2018","13951980","","2625161695","","188,16",""
"09/2018","13738030","","2593466106","","188,78",""
"10/2018","13945540","","2623693236","","188,14",""
"11/2018","14227451","","2665049287","","187,32",""
"12/2018","14142764","","2641616078","","186,78",""
"01/2019","13760886","","2585866335","","187,91",""
"02/2019","13914330","","2609818702,00","","187,56",""
"03/2019","14105240","","2636854154","","186,94",""
"04/2019","14134323","","2632278536,00","","186,23",""
"05/2019","14339058","","2677539162","","186,73",""
"06/2019","14072368","","2627861441","","186,74",""
"07/2019","13841302","","2609281590","","188,51",""
"08/2019","13826716","","2608191765","","188,63",""
"09/2019","13537137","","2561393842","","189,21",""
"10/2019","13505758","","2564193203","","189,86",""
"11/2019","13189567","","2520210959","","191,08",""
"12/2019","13170607","","2525746007","","191,77",""
"01/2020","13228015","","2526570558,00","","191,00",""
"02/2020","13216880","","2521099871","","190,75",""
"03/2020","13058228","","2505415999","","191,86",""
"04/2020","14274274","","113145595","","7,93",""
"05/2020","14281761","","106269353","","7,44",""
"06/2020","14283507","","104344759","","7,31",""
"07/2020","14283466","","112743016","","7,89",""
"08/2020","14283216","","108491206","","7,60",""
"09/2020","14274086","","357625690","","25,05",""
"10/2020","14274086","","383828960","","26,89",""
"11/2020","14273802","","403655222","","28,28",""
"12/2020","14274021","","424563233","","29,74",""
"01/2021","14232705","","2712375689","","190,57",""
"02/2021","14264964","","2665125803","","186,83",""
"03/2021","14524150","","2708579778","","186,49",""
"04/2021","14611945","","1186031369","","81,17",""
"05/2021","14695095","","1204242529","","81,95",""
"06/2021","14695025","","1221955108","","83,15",""
"07/2021","14694962","","1235187856","","84,06",""
"08/2021","14655304","","1244911833","","84,95",""
"09/2021","14655264","","1265020898","","86,32",""
"10/2021","14654783","","1282260713","","87,50",""
"03/2023","","21194184","","14012316757","","670,33"
"04/2023","","21192507","","13994529405","","670,49"
"05/2023","","21249015","","14100224092","","672,45"
"06/2023","","21219708","","14968417300","","705,40"
"07/2023","","20899213","","14039297714,00","","684,17"
"08/2023","","21140894","","14257081537,00","","686,04"
"09/2023","","21478744","","14583338308","","686,89"
"10/2023","","21457553","","14672848718,0","","688,97"
"11/2023","","21186317","","14262454357,0","","677,88"
